Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,92.849998,94.099998,92.550003,93.599998,91.902199,1199200
2020-08-18,94.360001,94.900002,93.599998,94.900002,93.178619,1463300
2020-08-19,95.139999,95.440002,93.529999,93.930000,92.226212,1275800
2020-08-20,93.070000,95.510002,93.000000,95.370003,93.640091,1346200
2020-08-21,95.419998,96.330002,95.320000,96.099998,94.356850,1477100
2020-08-24,96.400002,96.970001,95.169998,96.559998,94.808502,1439200
2020-08-25,96.709999,96.839996,95.889999,96.480003,95.193306,1179800
2020-08-26,96.120003,96.120003,94.809998,95.330002,94.058647,1521300
2020-08-27,96.379997,96.669998,95.470001,95.470001,94.196777,1661900
2020-08-28,96.029999,97.599998,95.559998,97.449997,96.150368,1517100
2020-08-31,97.180000,97.320000,95.720001,95.849998,94.571709,1451300
2020-09-01,95.589996,96.169998,94.930000,96.150002,94.867706,1618200
2020-09-02,96.110001,98.650002,95.900002,97.980003,96.673309,1873300
2020-09-03,98.419998,98.550003,95.379997,96.330002,95.045311,1526300
2020-09-04,96.900002,97.250000,94.300003,95.220001,93.950104,2025000
2020-09-08,95.000000,96.129997,93.459999,93.680000,92.430649,2305000
2020-09-09,94.110001,94.839996,93.309998,93.389999,92.144508,1193400
2020-09-10,93.379997,94.559998,92.110001,92.349998,91.118385,1634100
2020-09-11,92.639999,93.430000,91.500000,92.269997,91.039452,1246500
2020-09-14,93.150002,94.180000,92.540001,92.870003,91.631454,1497700
2020-09-15,93.199997,94.320000,93.099998,93.519997,92.272781,1191500
2020-09-16,93.849998,95.449997,93.620003,94.809998,93.545578,1621100
2020-09-17,93.690002,94.629997,92.970001,93.709999,92.460243,1254500
2020-09-18,93.309998,94.379997,92.059998,92.110001,90.881584,2775800
2020-09-21,90.400002,91.099998,88.080002,89.339996,88.148521,1717700
2020-09-22,89.370003,90.820000,88.849998,90.589996,89.381851,1233300
2020-09-23,90.769997,91.419998,89.599998,89.769997,88.572792,1756200
2020-09-24,89.680000,91.480003,89.120003,91.370003,90.151459,1650700
2020-09-25,91.040001,91.739998,89.730003,91.379997,90.161324,1154800
2020-09-28,91.879997,92.449997,91.389999,91.879997,90.654648,1694600
2020-09-29,91.580002,91.879997,90.239998,90.709999,89.500259,1612600
2020-09-30,91.120003,92.529999,90.760002,91.300003,90.082390,1735200
2020-10-01,92.150002,92.510002,91.209999,91.820000,90.595459,1300700
2020-10-02,90.620003,95.309998,90.330002,95.169998,93.900772,2173300
2020-10-05,95.680000,95.779999,93.349998,94.089996,92.835175,1415100
2020-10-06,94.559998,94.830002,91.830002,91.919998,90.694115,1282300
2020-10-07,92.800003,94.470001,92.709999,93.879997,92.627968,1523400
2020-10-08,94.190002,95.430000,93.889999,95.410004,94.137581,1239100
2020-10-09,95.629997,96.080002,94.820000,95.489998,94.216507,1169700
2020-10-12,95.510002,96.230003,94.849998,95.980003,94.699974,976900
2020-10-13,95.410004,96.389999,95.370003,96.010002,94.729584,847600
2020-10-14,96.230003,97.349998,95.870003,96.519997,95.232765,1317000
2020-10-15,95.930000,99.750000,95.620003,99.489998,98.163162,2427900
2020-10-16,99.669998,100.750000,98.410004,98.529999,97.215965,2282000
2020-10-19,98.389999,99.790001,97.029999,97.250000,95.953033,1087900
2020-10-20,97.870003,98.480003,97.000000,97.279999,95.982635,1112400
2020-10-21,97.290001,99.379997,97.139999,99.070000,97.748764,1060600
2020-10-22,99.660004,99.949997,98.199997,99.849998,98.518364,1336900
2020-10-23,100.330002,101.510002,99.110001,101.279999,99.929291,1039400
2020-10-26,100.540001,100.540001,97.519997,99.199997,97.877022,1300000
2020-10-27,98.820000,99.169998,97.820000,97.989998,96.683167,1024800
2020-10-28,96.070000,97.199997,94.889999,95.059998,93.792244,1564600
2020-10-29,97.309998,97.480003,92.220001,94.940002,93.673843,2009000
2020-10-30,94.360001,95.209999,92.349998,93.330002,92.085320,2139000
2020-11-02,94.419998,95.930000,93.730003,95.250000,93.979713,1908400
2020-11-03,96.419998,97.699997,95.790001,96.769997,95.479439,1449700
2020-11-04,97.309998,99.970001,96.660004,98.580002,97.265305,2024400
2020-11-05,99.419998,101.230003,98.970001,100.699997,99.357025,2803100
2020-11-06,100.570000,101.260002,99.129997,99.379997,98.054619,1745400
2020-11-09,103.989998,106.330002,101.900002,101.980003,100.619957,2035700
2020-11-10,102.760002,104.019997,102.000000,102.989998,101.616478,1545200
2020-11-11,103.209999,103.529999,101.559998,101.820000,100.462090,1273200
2020-11-12,101.550003,102.260002,99.739998,100.419998,99.080757,1326000
2020-11-13,101.129997,103.019997,100.879997,102.870003,101.498093,1345500
2020-11-16,103.709999,105.889999,103.480003,104.760002,103.362877,1575500
2020-11-17,103.480003,104.309998,103.010002,104.040001,102.652481,1000200
2020-11-18,104.419998,105.019997,103.769997,104.169998,102.780746,1288000
2020-11-19,104.160004,105.400002,103.820000,105.269997,103.866074,1081500
2020-11-20,105.160004,105.459999,104.680000,104.989998,103.589806,1541200
2020-11-23,105.589996,105.839996,104.489998,105.000000,103.599678,1449100
2020-11-24,105.680000,107.309998,105.250000,107.190002,106.236008,1439900
2020-11-25,106.910004,107.279999,105.910004,106.610001,105.661171,1376700
2020-11-27,107.000000,107.699997,106.800003,107.180000,106.226089,801200
2020-11-30,106.199997,106.489998,105.010002,105.800003,104.858376,2902800
2020-12-01,106.839996,106.989998,105.519997,106.339996,105.393562,1726200
2020-12-02,105.870003,105.970001,104.800003,104.980003,104.045677,1298100
2020-12-03,104.669998,105.230003,104.320000,104.519997,103.589760,1329900
2020-12-04,105.089996,106.150002,104.769997,105.860001,104.917847,897000
2020-12-07,105.529999,105.690002,104.669998,105.239998,104.303360,1507200
2020-12-08,104.599998,105.629997,104.480003,105.150002,104.214157,1421200
2020-12-09,105.599998,106.910004,105.099998,106.570000,105.621529,1431700
2020-12-10,106.160004,107.080002,105.900002,106.459999,105.512497,1347800
2020-12-11,105.879997,106.500000,105.349998,105.989998,105.046684,1538300
2020-12-14,106.889999,106.889999,105.330002,105.500000,104.561050,2015300
2020-12-15,106.379997,107.650002,105.970001,107.379997,106.424309,2357700
2020-12-16,107.510002,108.639999,107.169998,107.419998,106.463951,2412400
2020-12-17,108.730003,108.879997,107.849998,108.790001,107.821770,2842700
2020-12-18,108.820000,110.169998,108.800003,109.779999,108.802956,4513800
2020-12-21,108.120003,109.449997,106.669998,108.629997,107.663185,1288900
2020-12-22,108.059998,108.320000,107.019997,107.400002,106.444138,1199300
2020-12-23,107.160004,107.930000,106.790001,106.790001,105.839561,884700
2020-12-24,107.220001,107.690002,106.940002,107.540001,106.582886,340400
2020-12-28,108.489998,109.849998,107.379997,109.779999,108.802956,1822900
2020-12-29,109.629997,110.559998,109.400002,109.449997,108.475891,1818300
2020-12-30,109.349998,110.660004,109.330002,109.510002,108.535355,1267900
2020-12-31,108.739998,109.180000,107.379997,108.559998,107.593803,1651700
